"""ΘΕΜΙΣ"" ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ Α.Ε."
"ΑΣΦΑΛΙΣΤΙΚΟ ΚΕΦΑΛΑΙΟ ΑΛΛΗΛΕΓΓΥΗΣ ΓΕΝΕΩΝ"
"ΑΤΤΙΚΟ ΜΕΤΡΟ Α.Ε."
"ΑΥΤΟΝΟΜΟΣ ΟΙΚΟΔΟΜΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΑΞΙΩΜΑΤΙΚΩΝ (Α.Ο.Ο.Α)"
"ΓΑΙΑΟΣΕ Α.Ε."
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΑΙΓΙΝΑΣ"
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΑΜΦΙΚΛΕΙΑΣ"
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΔΕΛΦΩΝ"
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΖΑΓΟΡΑΣ (ΙΣΤΟΡΙΚΗ)"
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΛΕΥΚΑΔΑΣ"
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΜΗΛΕΩΝ"
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΜΟΛΑΩΝ ""ΡΟΥΜΑΝΕΙΟΣ"""
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΜΟΥΖΑΚΙΟΥ"
"ΔΗΜΟΣΙΑ ΒΙΒΛΙΟΘΗΚΗ ΠΕΤΑΛΙΔΙΟΥ"
"ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΑΝΕΓΕΡΣΗΣ ΝΟΣΗΛΕΥΤΙΚΩΝ ΜΟΝΑΔΩΝ (Δ.ΕΠ.Α.ΝΟ.Μ) Α.Ε"
"ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΚΙΝΗΤΩΝ ΑΞΙΩΝ (Δ.Ε.Κ.Α.) Α.Ε"
"ΔΗΜΟΣΙΑ ΙΣΤΟΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ  ΖΑΚΥΝΘΟΥ "
"ΔΗΜΟΣΙΑ ΙΣΤΟΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΑΝΔΡΙΤΣΑΙΝΑΣ"
"ΔΗΜΟΣΙΑ ΙΣΤΟΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΜΗΘΥΜΝΑΣ"
"ΔΗΜΟΣΙΑ ΙΣΤΟΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΤΗΣ ΕΛΛΗΝΙΚΗΣ ΣΧΟΛΗΣ ΔΗΜΗΤΣΑΝΑΣ ΜΟΥΣΕΙΟ ΚΑΙ ΙΣΤΟΡΙΚΟ ΑΡΧΕΙΟ ΓΟΡΤΥΝΙΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΒΕΡΟΙΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΔΡΑΜΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΕΔΕΣΣΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΚΑΛΑΜΑΤΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΚΑΡΠΕΝΗΣΙΟΥ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΚΙΛΚΙΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΚΟΝΙΤΣΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΛΑΜΙΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΛΕΒΑΔΕΙΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΛΗΞΟΥΡΙΟΥ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΜΥΤΙΛΗΝΗΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΝΑΥΠΛΙΟΥ ""Ο ΠΑΛΑΜΗΔΗΣ"""
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΠΥΡΓΟΥ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΡΕΘΥΜΝΗΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΡΟΔΟΥ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΣΕΡΡΩΝ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΣΠΑΡΤΗΣ "
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΤΡΙΠΟΛΗΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΦΛΩΡΙΝΑΣ ""ΒΑΣΙΛΙΚΗΣ ΠΙΤΟΣΚΑ"""
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΧΑΛΚΙΔΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΙΣΤΟΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΚΕΡΚΥΡΑΣ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΙΣΤΟΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΣΑΜΟΥ"
"ΔΗΜΟΣΙΑ ΚΕΝΤΡΙΚΗ ΙΣΤΟΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΣΙΑΤΙΣΤΑΣ ""ΜΑΝΟΥΣΕΙΑ"""
"ΔΗΜΟΣΙΟ ΠΡΟΤΥΠΟ ΠΑΙΔΙΚΟ ΓΥΜΝΑΣΤΗΡΙΟ ΚΑΙΣΑΡΙΑΝΗΣ"
"ΔΙΕΠΙΣΤΗΜΟΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΑΝΑΓΝΩΡΙΣΗΣ ΤΙΤΛΩΝ ΑΚΑΔΗΜΑΪΚΩΝ & ΠΛΗΡΟΦΟΡΗΣΗΣ (Δ.Ο.Α.Τ.Α.Π.)"
"ΕΘΝΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΤΗΣ ΕΛΛΑΔΑΣ"
"ΕΘΝΙΚΗ ΛΥΡΙΚΗ ΣΚΗΝΗ"
"ΕΘΝΙΚΗ ΠΙΝΑΚΟΘΗΚΗ-ΜΟΥΣΕΙΟ ΑΛΕΞΑΝΔΡΟΥ ΣΟΥΤΣΟΥ"
"ΕΘΝΙΚΗ ΣΧΟΛΗ ΔΙΚΑΣΤΙΚΩΝ ΛΕΙΤΟΥΡΓΩΝ (Ε.Σ.ΔΙ.)"
"ΕΘΝΙΚΟ ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ ΓΛΥΦΑΔΑΣ ""ΜΑΤΘΑΙΟΣ ΛΙΟΥΓΚΑΣ"""
"ΕΘΝΙΚΟ ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ"
"ΕΘΝΙΚΟ ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ ΚΕΡΚΥΡΑΣ"
"ΕΘΝΙΚΟ ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ ΛΑΡΙΣΑΣ"
"ΕΘΝΙΚΟ ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ ΝΕΟΤΗΤΑΣ ΑΓ. ΚΟΣΜΑ"
"ΕΘΝΙΚΟ ΑΘΛΗΤΙΚΟ ΝΑΥΤΙΚΟ ΚΕΝΤΡΟ ΙΩΑΝΝΙΝΩΝ"
"ΕΘΝΙΚΟ ΑΣΤΕΡΟΣΚΟΠΕΙΟ ΑΘΗΝΩΝ"
"ΕΘΝΙΚΟ ΓΥΜΝΑΣΤΗΡΙΟ ΑΘΗΝΩΝ ""Ι. ΦΩΚΙΑΝΟΣ"""
"ΕΘΝΙΚΟ ΓΥΜΝΑΣΤΗΡΙΟ ΜΙΚΡΑΣ"
"ΕΘΝΙΚΟ ΔΙΚΤΥΟ ΕΡΕΥΝΑΣ & ΤΕΧΝΟΛΟΓΙΑΣ Α.Ε (Ε.Δ.Ε.Τ)"
"ΕΘΝΙΚΟ ΘΕΑΤΡΟ"
"ΕΘΝΙΚΟ ΙΔΡΥΜΑ ΑΓΡΟΤΙΚΗΣ ΕΡΕΥΝΑΣ (Ε.Θ.Ι.ΑΓ.Ε)"
"ΕΘΝΙΚΟ ΙΔΡΥΜΑ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΑΝΑΠΗΡΩΝ ΑΧΑΪΑΣ"
"ΕΘΝΙΚΟ ΙΔΡΥΜΑ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΑΝΑΠΗΡΩΝ"
"ΕΘΝΙΚΟ ΙΔΡΥΜΑ ΕΡΕΥΝΩΝ"
"ΕΘΝΙΚΟ ΙΔΡΥΜΑ ΚΩΦΩΝ"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΑΙΜΟΔΟΣΙΑΣ (Ε.ΚΕ.Α)"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΑΜΕΣΗΣ ΒΟΗΘΕΙΑΣ ( Ε.Κ.Α.Β.)"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΒΙΒΛΙΟΥ (Ε.ΚΕ.ΒΙ)"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΒΙΩΣΙΜΗΣ ΚΑΙ ΑΕΙΦΟΡΟΥ ΑΝΑΠΤΥΞΗΣ "
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΑΥΤΟΔΙΟΙΚΗΣΗΣ"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΕΡΕΥΝΑΣ & ΤΕΧΝΟΛΟΓΙΚΗΣ ΑΝΑΠΤΥΞΗΣ"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΕΡΕΥΝΑΣ ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ""ΔΗΜΟΚΡΙΤΟΣ"""
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΕΡΕΥΝΑΣ, ΠΡΟΛΗΨΗΣ ΚΑΙ ΘΕΡΑΠΕΙΑΣ ΤΟΥ ΣΑΚΧΑΡΩΔΗ ΔΙΑΒΗΤΗ ΚΑΙ ΤΩΝ ΕΠΙΠΛΟΚΩΝ ΤΟΥ (Ε.ΚΕ.ΔΙ.)"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΙΣΤΙΟΠΛΟΪΑΣ ΠΕΙΡΑΙΑ"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ (Ε.Κ.Κ.Α.)"
"ΕΘΝΙΚΟ ΚΕΝΤΡΟ ΚΟΙΝΩΝΙΚΩΝ ΕΡΕΥΝΩΝ"
"ΕΘΝΙΚΟ ΚΛΕΙΣΤΟ ΓΥΜΝΑΣΤΗΡΙΟ ΠΕΙΡΑΙΑ ""ΠΕΤΡΟΣ ΚΑΠΑΓΕΡΩΦ"""
"ΕΘΝΙΚΟ ΜΟΥΣΕΙΟ ΣΥΓΧΡΟΝΗΣ ΤΕΧΝΗΣ"
"ΕΘΝΙΚΟ ΝΑΥΤΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ ΘΕΣΣΑΛΟΝΙΚΗΣ"
"ΕΘΝΙΚΟ ΣΚΟΠΕΥΤΗΡΙΟ ΧΑΝΙΩΝ"
"ΕΘΝΙΚΟ ΣΤΑΔΙΟ ""ΚΑΥΤΑΤΖΟΓΛΕΙΟ"" ΘΕΣΣΑΛΟΝΙΚΗΣ"
"ΕΘΝΙΚΟ ΣΤΑΔΙΟ ΝΑΥΠΑΚΤΟΥ ""ΠΑΠΑΧΑΡΑΛΑΜΠΕΙΟ"""
"ΕΘΝΙΚΟ ΤΑΜΕΙΟ ΕΠΙΧΕΙΡΗΜΑΤΙΚΟΤΗΤΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ Α.Ε (Ε.Τ.Ε.ΑΝ.) ΠΡΩΗΝ (Τ.Ε.Μ.Π.Μ.Ε.  Α.Ε.)"
"ΕΘΝΙΚΟΣ ΔΙΑΧΕΙΡΙΣΤΗΣ ΣΙΔΗΡΟΔΡΟΜΙΚΗΣ ΥΠΟΔΟΜΗΣ  Α.Ε (Ε.ΔΙ.Σ.Υ.  Α.Ε)"
"ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΜΕΤΑΜΟΣΧΕΥΣΕΩΝ"
"ΕΘΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΦΑΡΜΑΚΩΝ (Ε.Ο.Φ)"
"ΕΙΔΙΚΟ ΤΑΜΕΙΟ ΕΛΕΓΧΟΥ, ΠΑΡΑΓΩΓΗΣ & ΠΟΙΟΤΗΤΑΣ ΑΛΚΟΟΛΗΣ ΚΑΙ ΑΛΚΟΟΛΟΥΧΩΝ ΠΟΤΩΝ (Ε.Τ.Ε.Π.Π.Α.Α)"
"ΕΙΔΙΚΟ ΤΑΜΕΙΟ ΟΡΓΑΝΩΣΕΩΣ ΣΥΝΑΥΛΙΩΝ ΚΡΑΤΙΚΗΣ ΟΡΧΗΣΤΡΑΣ ΑΘΗΝΩΝ"
"ΕΙΔΙΚΟΣ ΛΟΓΑΡΙΑΣΜΟΣ - ΟΡΓΑΝΙΣΜΟΣ ΑΝΤΙΣΕΙΣΜΙΚΟΥ ΣΧEΔΙΑΣΜΟΥ & ΠΡΟΣΤΑΣΙΑΣ"
"ΕΙΔΙΚΟΣ ΛΟΓΑΡΙΑΣΜΟΣ ΚΟΝΔΥΛΙΩΝ ΕΡΕΥΝΑΣ - ΕΘΝΙΚΟΥ ΚΕΝΤΡΟΥ ΚΟΙΝΩΝΙΚΩΝ ΕΡΕΥΝΩΝ "
"ΕΙΔΙΚΟΣ ΛΟΓΑΡΙΑΣΜΟΣ-ΚΕΝΤΡΟ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ & ΟΙΚΟΝΟΜΙΚΩΝ ΕΡΕΥΝΩΝ (ΚΕ.Π.Ε)"
"ΕΛΛΗΝΙΚΑ ΑΜΥΝΤΙΚΑ ΣΥΣΤΗΜΑΤΑ Α.Β.Ε.Ε. (Ε.Α.Σ.)"
"ΕΛΛΗΝΙΚΗ ΓΥΜΝΑΣΤΙΚΗ ΟΜΟΣΠΟΝΔΙΑ"
"ΕΛΛΗΝΙΚΗ ΙΣΤΙΟΠΛΟΪΚΗ ΟΜΟΣΠΟΝΔΙΑ"
"ΕΛΛΗΝΙΚΗ ΚΩΠΗΛΑΤΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΦΙΛΑΘΛΩΝ ΝΑΥΤΙΚΩΝ ΣΩΜΑΤΕΙΩΝ"
"ΕΛΛΗΝΙΚΗ ΟΛΥΜΠΙΑΚΗ ΕΠΙΤΡΟΠΗ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΑΡΣΗΣ ΒΑΡΩΝ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΘΑΛΑΣΣΙΟΥ ΣΚΙ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΚΑΛΑΘΟΣΦΑΙΡΙΣΗΣ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΚΑΝΟΕ - ΚΑΓΙΑΚ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΚΑΡΑΤΕ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΚΡΙΚΕΤ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΜΑΧΗΤΙΚΩΝ ΤΕΧΝΩΝ ΣΑΜΠΟ, ΚΟΥΡΕΣ, ΤΣΙΔΑΟΜΠΑ "
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΞΙΦΑΣΚΙΑΣ "
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΠΑΓΚΡΑΤΙΟΥ ΑΘΛΗΜΑΤΟΣ            "
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΠΕΤΟΣΦΑΙΡΙΣΗΣ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΠΟΔΗΛΑΣΙΑΣ (Ε.Ο.Π.)"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΠΥΓΜΑΧΙΑΣ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΣΟΦΤΜΠΟΛ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΤΑΕΚΒΟΝΤΟ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΤΖΟΥΝΤΟ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΤΡΙΑΘΛΟΥ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΥΠΟΒΡΥΧΙΑΣ ΔΡΑΣΤΗΡΙΟΤΗΤΑΣ KAI ΑΘΛΗΤΙΚΗΣ ΑΛΙΕΙΑΣ (Ε.Ο.Υ.Δ.Α.A.)"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΦΙΛΑΘΛΩΝ ΠΑΛΗΣ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΦΙΛΑΘΛΩΝ ΣΩΜΑΤΕΙΩΝ ΑΝΤΙΠΤΕΡΙΣΗΣ "
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΧΙΟΝΟΔΡΟΜΙΑΣ"
"ΕΛΛΗΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΧΟΚΕΥ"
"ΕΛΛΗΝΙΚΗ ΡΑΔΙΟΦΩΝΙΑ -ΤΗΛΕΟΡΑΣΗ Α.Ε. "
"ΕΛΛΗΝΙΚΗ ΣΚΑΚΙΣΤΙΚΗ ΟΜΟΣΠΟΝΔΙΑ (Ε.Σ.Ο.)"
"ΕΛΛΗΝΙΚΗ ΦΙΛΑΘΛΗ ΟΜΟΣΠΟΝΔΙΑ ΑΝΤΙΣΦΑΙΡΙΣΗΣ"
"ΕΛΛΗΝΙΚΗ ΦΙΛΑΘΛΗ ΟΜΟΣΠΟΝΔΙΑ ΕΠΙΤΡΑΠΕΖΙΑΣ ΑΝΤΙΣΦΑΙΡΙΣΗΣ"
"ΕΛΛΗΝΙΚΗ ΦΙΛΑΘΛΗ ΟΜΟΣΠΟΝΔΙΑ ΜΠΕΙΖΜΠΟΛ"
"ΕΛΛΗΝΙΚΗ ΦΙΛΑΘΛΟΣ ΟΜΟΣΠΟΝΔΙΑ ΤΟΞΟΒΟΛΙΑΣ"
"ΕΛΛΗΝΙΚΟ ΙΔΡΥΜΑ ΠΟΛΙΤΙΣΜΟΥ"
"ΕΛΛΗΝΙΚΟ ΙΝΣΤΙΤΟΥΤΟ ΜΕΤΡΟΛΟΓΙΑΣ "
"ΕΛΛΗΝΙΚΟ ΙΝΣΤΙΤΟΥΤΟ ΠΑΣΤΕΡ"
"ΕΛΛΗΝΙΚΟ ΚΕΝΤΡΟ ΑΡΓΙΛΛΟΜΑΖΗΣ Α.Ε."
"ΕΛΛΗΝΙΚΟ ΚΕΝΤΡΟ ΑΡΓΥΡΟΧΡΥΣΟΧΟΪΑΣ Α.Ε."
"ΕΛΛΗΝΙΚΟ ΚΕΝΤΡΟ ΕΥΡΩΠΑΙΚΟ ΜΕΛΕΤΩΝ"
"ΕΛΛΗΝΙΚΟ ΚΕΝΤΡΟ ΘΑΛΑΣΣΙΩΝ ΕΡΕΥΝΩΝ"
"ΕΛΛΗΝΙΚΟ ΚΕΝΤΡΟ ΚΙΝΗΜΑΤΟΓΡΑΦΟΥ"
"ΕΛΛΗΝΙΚΟ ΚΕΝΤΡΟ ΨΥΧΙΚΗΣ ΥΓΙΕΙΝΗΣ & ΕΡΕΥΝΩΝ"
"ΕΛΛΗΝΙΚΟ ΦΕΣΤΙΒΑΛ Α.Ε."
"ΕΛΛΗΝΙΚΟΣ ΓΕΩΡΓΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ - ΔΗΜΗΤΡΑ"
"ΕΛΛΗΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΓΑΛΑΚΤΟΣ ΚΑΙ ΚΡΕΑΤΟΣ (ΕΛ.Ο.Γ.Α.Κ)"
"ΕΛΛΗΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΕΞΩΤΕΡΙΚΟΥ ΕΜΠΟΡΙΟΥ Α.Ε"
"ΕΛΛΗΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΜΙΚΡΩΝ-ΜΕΣΑΙΩΝ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΧΕΙΡΟΤΕΧΝΙΑΣ (E.O.M.M.E.X) A.E"
"ΕΛΛΗΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΤΟΥΡΙΣΜΟΥ (Ε.Ο.Τ.)"
"ΕΛΛΗΝΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΤΥΠΟΠΟΙΗΣΗΣ ΑΕ (Ε.Λ.Ο.Τ  Α.Ε)"
"ΕΝΙΑΙΟΣ ΦΟΡΕΑΣ ΕΛΕΓΧΟΥ ΤΡΟΦΙΜΩΝ (Ε.Φ.Ε.Τ.)"
"ΕΝΟΠΟΙΗΣΗ ΑΡΧΑΙΟΛΟΓΙΚΩΝ ΧΩΡΩΝ  ΚΑΙ ΑΝΑΠΛΑΣΕΙΣ  (ΕΑΧΑ) Α.Ε. "
"ΕΠΑΝΟΔΟΣ"
"ΕΠΕΝΔΥΣΤΕ ΣΤΗΝ ΕΛΛΑΔΑ Α.Ε"
"ΕΠΙΤΡΟΠΗ ΑΝΤΑΓΩΝΙΣΜΟΥ"
"ΕΡΓΟΣΕ Α.Ε"
"ΕΡΕΥΝΗΤΙΚΟ ΚΕΝΤΡΟ ΒΙΟΙΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ""ΑΛ. ΦΛΕΜΙΝΓΚ"""
"ΕΤΑΙΡΕΙΑ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΒΙΟΜΗΧΑΝΙΑΣ ΤΡΟΦΙΜΩΝ Α.Ε."
"ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΝΗΛΙΚΩΝ ΑΓΡΙΝΙΟΥ"
"ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΝΗΛΙΚΩΝ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ"
"ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΝΗΛΙΚΩΝ ΓΙΑΝΝΙΤΣΩΝ"
"ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΝΗΛΙΚΩΝ ΕΔΕΣΣΑΣ"
"ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΝΗΛΙΚΩΝ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ"
"ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΝΗΛΙΚΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ"
"ΕΤΑΙΡΕΙΑ ΠΡΟΣΤΑΣΙΑΣ ΑΝΗΛΙΚΩΝ ΚΑΡΔΙΤΣΑΣ"
