"ΙΚΑ Αγιάς (Παράρτημα)"
"ΙΚΑ Αγίας Tριάδας (Δεν λειτουργεί)"
"ΙΚΑ Αγίας Παρασκευής (Τοπικό)"
"ΙΚΑ Αγίας Σοφίας (Τοπικό)"
"ΙΚΑ Αγίας Aννας (Παράρτημα) - Αναστολή λειτουργίας"
"ΙΚΑ Αγίου Aλεξίου (Τοπικό)"
"ΙΚΑ Αγίου Iεροθέου (Τοπικό)"
"ΙΚΑ Αγίου Kηρύκου (Παράρτημα)"
"ΙΚΑ Αγίου Kων/νου (Παράρτημα) - Αναστολή λειτουργίας"
"ΙΚΑ Αγίου Nικολάου (Τοπικό)"
"ΙΚΑ Αγίου Μηνά (Τοπικό)"
"ΙΚΑ Αγίου Στεφάνου (Τοπικό)"
"ΙΚΑ Αγίων Aναργύρων (Τοπικό)"
"ΙΚΑ Αγριάς (Παράρτημα) - Αναστολή λειτουργίας"
"ΙΚΑ Αγρινίου (Τοπικό)"
"ΙΚΑ Αθήνας (Περιφερειακό)"
"ΙΚΑ Αιγάλεω (Τοπικό)"
"ΙΚΑ Αίγινας (Παράρτημα)"
"ΙΚΑ Αιγινίου (Παράρτημα) - Αναστολή λειτουργίας"
"ΙΚΑ Αιγίου (Τοπικό)"
"ΙΚΑ Αιδηψού (Παράρτημα)"
"ΙΚΑ Ακράτας (Παράρτημα) - Αναστολή λειτουργίας"
"ΙΚΑ Αλεξάνδρας (Τοπικό)"
"ΙΚΑ Αλεξάνδρειας (Τοπικό)"
"ΙΚΑ Αλεξανδρούπολης (Τοπικό)"
"ΙΚΑ Αλιάρτου (Τοπικό)"
"ΙΚΑ Αλιβερίου (Τοπικό)"
"ΙΚΑ Αλμυρού (Τοπικό)"
"ΙΚΑ Αμαλιάδας (Τοπικό)"
"ΙΚΑ Αμαρουσίου (Τοπικό)"
"ΙΚΑ Αμυνταίου (Τοπικό)"
"ΙΚΑ Αμφιάλης (Τοπικό)"
"ΙΚΑ Αμφιθέας (Τοπικό)"
"ΙΚΑ Αμφίκλειας (Παράρτημα)"
"ΙΚΑ Αμφιλοχίας (Παράρτημα)"
"ΙΚΑ Αμφισσας (Τοπικό)"
"ΙΚΑ Ανατολικής Λάρισας (Τοπικό)"
"ΙΚΑ Ανδρου (Παράρτημα)"
"ΙΚΑ Ανω Λευκίμμης (Παράρτημα)"
"ΙΚΑ Ανω Λιοσιών Καματερού (Τοπικό)"
"ΙΚΑ Ανω Πόλης (Τοπικό)"
"ΙΚΑ Αξιούπολης (Τοπικό)"
"ΙΚΑ Αργοστολίου (Τοπικό)"
"ΙΚΑ Αργους (Τοπικό)"
