"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, Α. ΒΙΑΝΝΟΣ, ΑΓΙΑ ΤΡΙΑΔΑ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΓΙΑ ΒΑΡΒΑΡΑ, ΑΓΙΟΙ ΑΠΟΣΤΟΛΟΙ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΓΙΑ ΒΑΡΒΑΡΑ, ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΓΙΑ ΒΑΡΒΑΡΑ, ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΕΝΟΡΙΑΚΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΓΙΑ ΒΑΡΒΑΡΑ, ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΖΑΡΟΥ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΑΓΙΑ ΚΥΡΙΑΚΗ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΑΓΙΑ ΤΡΙΑΔΑ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΑΓΙΟΣ ΑΝΔΡΕΑΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΜΕΤΑΜΟΡΦΩΣΙΣ ΤΟΥ ΣΩΤΗΡΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΝΑΟΣ ΠΑΝΑΓΙΑΣ ΚΕΡΑΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΝΑΟΣ ΣΥΝΑΞΗΣ ΑΡΧΑΓΓΕΛΩΝ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΝΑΟΣ ΤΑΞΙΑΡΧΩΝ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΝΑΟΣ ΤΙΜΙΟΥ ΣΤΑΥΡΟΥ ΘΡΑΨΑΝΟΥ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ, ΠΡΟΣΚΥΝΗΜΑ ΑΓΙΑΣ ΜΑΡΙΝΑΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ-ΚΑΣΑΝΟΣ, ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ-ΚΑΣΤΕΛΛΙ, ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ-ΝΙΠΙΔΙΤΟΣ, ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΩΝ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ-ΠΑΡΤΙΡΑ, ΑΓΙΑ ΤΡΙΑΔΑ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ-ΡΟΥΣΣΟΧΩΡΙΑ, ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ-ΣΚΙΝΙΑΣ, ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΑΡΚΑΛΟΧΩΡΙ-ΤΣΟΥΤΣΟΥΡΟΣ, ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΩΝ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΑ ΑΝΝΑ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΑ ΒΑΡΒΑΡΑ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΑ ΖΩΝΗ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΑ ΜΑΡΙΝΑ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΑ ΠΕΛΑΓΙΑ"
"ΑΡΧΙΕΠΙΣΚΟΠΗ ΚΡΗΤΗΣ, ΗΡΑΚΛΕΙΟ, ΑΓΙΟΙ ΠΑΝΤΕΣ"
